HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458957.88697,2020-04-18.3851581,bC,1.52,14.519,10.287,0.009,278.622,2.240,g
2458958.87692,2020-04-19.3750887,bC,1.38,14.975,10.259,0.010,286.071,2.552,g
2458958.87821,2020-04-19.3763792,bC,1.43,15.017,10.334,0.009,266.907,2.280,g
2458958.87950,2020-04-19.3776655,bC,1.42,15.041,10.368,0.009,258.619,2.030,g
2458959.87920,2020-04-20.3773414,bC,1.40,15.024,10.356,0.008,261.623,2.041,g
2458959.88050,2020-04-20.3786396,bC,1.41,14.984,10.264,0.008,284.736,2.173,g
2458959.88178,2020-04-20.3799224,bC,1.41,14.998,10.301,0.009,275.126,2.236,g
2458960.86924,2020-04-21.3673666,bC,1.41,15.007,10.330,0.009,267.784,2.168,g
2458960.87054,2020-04-21.3686659,bC,1.39,14.991,10.304,0.009,274.309,2.356,g
2458960.87183,2020-04-21.3699538,bC,1.42,14.971,10.264,0.009,284.722,2.427,g
2458961.87332,2020-04-22.3714206,bC,1.40,14.989,10.273,0.010,282.206,2.486,g
2458961.87461,2020-04-22.3727116,bC,1.40,14.989,10.261,0.009,285.276,2.361,g
2458961.87591,2020-04-22.3740101,bC,1.37,15.010,10.306,0.009,274.079,2.282,g
2458962.86733,2020-04-23.3654078,bC,1.46,13.490,10.433,0.032,243.749,7.162,g
2458962.86862,2020-04-23.3666984,bC,1.42,13.347,10.448,0.025,240.207,5.513,g
2458962.86991,2020-04-23.3679849,bC,1.41,13.606,10.258,0.016,286.092,4.153,g
2458962.99057,2020-04-23.4886409,bC,1.43,14.298,10.282,0.010,280.110,2.593,g
2458962.99185,2020-04-23.4899237,bC,1.39,14.175,10.283,0.010,279.934,2.666,g
2458962.99314,2020-04-23.4912106,bC,1.48,14.281,10.397,0.011,251.840,2.654,g
2458963.86231,2020-04-24.3603652,bC,1.84,99.990,99.990,99.990,99.990,99.990,g
2458963.86360,2020-04-24.3616594,bC,1.52,99.990,99.990,99.990,99.990,99.990,g
2458963.86489,2020-04-24.3629462,bC,1.59,99.990,99.990,99.990,99.990,99.990,g
2458964.03140,2020-04-24.5294534,bC,1.51,13.560,10.305,0.016,274.168,4.027,g
2458964.03269,2020-04-24.5307405,bC,1.52,13.468,10.309,0.018,273.042,4.588,g
2458964.03398,2020-04-24.5320296,bC,1.58,13.260,10.303,0.016,274.544,4.216,g
2458964.86108,2020-04-25.3591215,bC,1.51,14.496,10.258,0.011,286.172,2.823,g
2458964.86238,2020-04-25.3604162,bC,1.66,14.630,10.247,0.011,289.021,2.812,g
2458964.86368,2020-04-25.3617116,bC,1.53,14.576,10.245,0.014,289.620,3.764,g
2458965.72633,2020-04-26.2243456,bs,1.48,99.990,99.990,99.990,99.990,99.990,g
2458965.72755,2020-04-26.2255625,bs,1.44,99.990,99.990,99.990,99.990,99.990,g
2458965.72876,2020-04-26.2267799,bs,1.43,99.990,99.990,99.990,99.990,99.990,g
