date,dec,exp_time,jd,qidx,ra,star_name,time
2020-12-29,48.013546,617.7,2459212.982465866,202.0,13.7388,HAT-P-3b_1_OUT_b2,11:34:45
2020-12-29,48.013208,617.7,2459212.989992228,202.0,13.738907,HAT-P-3b_1_OUT_b2,11:45:35
2020-12-29,48.013063,617.7,2459212.997518503,202.0,13.739033,HAT-P-3b_1_OUT_b2,11:56:25
2020-12-30,48.01311,617.7,2459213.959895444,203.0,13.73868,HAT-P-3b_1_OUT_b1,11:02:14
2020-12-30,48.012659,617.7,2459213.96742194,203.0,13.738792,HAT-P-3b_1_OUT_b1,11:13:05
2020-12-30,48.01273,617.7,2459213.974948159,203.0,13.738907,HAT-P-3b_1_OUT_b1,11:23:55
2020-12-30,48.01191,617.7,2459213.9824748696,203.0,13.739018,HAT-P-3b_1_OUT_b1,11:34:45
2021-01-30,48.012622,617.7,2459244.886275338,210.0,13.739027,HAT-P-3b_1_OUT_b2,09:16:14
2021-02-01,48.012194,639.0,2459246.854093371,209.0,13.739008,HAT-P-3b_1_IN,08:29:53
2021-02-01,48.011699,639.0,2459246.861866513,209.0,13.739137,HAT-P-3b_1_IN,08:41:05
2021-02-01,48.011233,639.0,2459246.8696394116,209.0,13.73923,HAT-P-3b_1_IN,08:52:16
2021-02-01,48.011015,639.0,2459246.877412719,209.0,13.739358,HAT-P-3b_1_IN,09:03:28
2021-02-01,48.010686,639.0,2459246.8851855895,209.0,13.739464,HAT-P-3b_1_IN,09:14:40
2021-02-01,48.010314,639.0,2459246.8929587,209.0,13.739574,HAT-P-3b_1_IN,09:25:51
2021-02-01,48.010003,639.0,2459246.900731824,209.0,13.739683,HAT-P-3b_1_IN,09:37:03
